Country|Continent|Population|Area
Brazil|South_America|193,364,000|8,511,965
Canada|North_America|37,591,023|9,976,140
China|Asia|1,339,190,000|9,596,960
Colombia|South_America|48,654,392|1,090,909
Egypt|Africa|93,383,574|1,000,000
France|Europe|67,067,112|213,000
Germany||83,022,544|213,000
Indonesia|Asia|260,581,100|1,809,590
Italy|Europe|59,801,004|300,000
Japan|Asia|127,380,000|377,835
Mexico|North_America|128,632,004|1,969,230
Nigeria|Africa|186,987,563|912,134
South_Africa|Africa|54,978,907|1,222,222
South_Korea|Asia|50,503,933|98,076
United_States_of_America|North_America|328,566,312|9,629,091
United_states_of_america||328,566,312|
Vietnam||94,469,067|
